Accion recomendada;Producto archivar ID;Referencia interna;Nombre a archivar;Producto conservar ID;Nombre a conservar;Archivar tiene WC;Conservar tiene WC;Stock archivar;Pedidos archivar;Motivo
ARCHIVAR;3198;103H7823-0416;"MOTOR MOVIMIENTO ""Y"" SWF";1945;"MOTOR MOVIMIENTO &quot;Y&quot; SWF";NO;NO;0.0;0;Duplicado import reciente (id alto). Conservar producto legacy con mismo SKU.
ARCHIVAR;3203;5.04.112A;"PATA/PRENSATELAS ""A"" MEC-VAL";2109;"PATA/PRENSATELAS &quot;A&quot; MEC-VAL";NO;NO;0.0;0;Duplicado import reciente (id alto). Conservar producto legacy con mismo SKU.
ARCHIVAR;3219;CORREADENTADA;"CORREA DENTADA MOTOR ""Y"" LASER";2672;"CORREA DENTADA MOTOR &quot;Y&quot; LASER";NO;NO;0.0;0;Duplicado import reciente (id alto). Conservar producto legacy con mismo SKU.
ARCHIVAR;3225;DUO-HCS3-1201-40;"DUO COMBO HAPPY HCS3.

COMBO ESPECIAL DE DOS CABEZALES DE HCS3, UNIDOS SOBRE UNA BANCADA ESPECIAL. (ESTE TIPO DE COMBO, OFRECE UNA MAYOR VERSATILIDAD Y PRODUCCIÓN, QUE LAS MÁQUINAS DE BORDAR DE DOS CABEZALES CONVENCIONALES)
CARACTERISTICAS DE CADA CABEZAL:
- MAQUINA DE BORDAR INDUSTRIAL de 12 agujas, CON UN AREA MAX DE BORDADO REAL DE 320X320MM EN BASTIDOR PORTAL (OPCIONAL), de 290x290 en bastidor TUBULAR Y DE 67X290MM CON EL BASTIDOR DE GORRAS.
- NUEVO BRAZO, DE TAMAÑO MUCHO MAS PEQUEÑO, QUE PERMITE BORDAR EN ESPACIOS MAS REDUCIDOS.
- NUEVO SOPORTE PARA LOS HILOS, QUE PERMITE PONER BOINAS DE HILO CON UNA BASE MAS ANCHA.
- VELOCIDAD MAX DE 1.000 PUNTADAS.
- NUEVA PANTALLA TACTIL 7"" con nuevo sistema de tratamiento de datos, con posibilidad de usar cualquier adaptador wifi por usb, CONEXION LAN incorporada , USB Y USB FRONTAL.
- Nuevo sistema de movimiento de bastidor sin vib
esperaciones. 
- bOBINADOR DE HILO DE CANILLA INCORPORADO E INDEPENDIENTE (NO ES NECESARIO QUE LA MAQUINA ESTE EN MARCHA PARA QUE ESTE TRABAJE).
- pOSIBILIDAD DE CREAR TEXTOS CON DISTINTOS ESTILOS DE FUENTES, TAMAÑOS Y FORMAS DESDE EL PANEL.
- pOSICIONAMIENTO CON MARCADOR LÁSER TIPO CRUZ.
- LUZ LED FRONTAL.
- reconocimiento DEL ÁREA DE BORDADO QUE PERMITE EL CENTRAR EL DISEÑO EN EL BASTIDOR CON SOLO PULSAR UN BOTÓN Y TAMBIÉN EVITAR POSIBLES GOLPES DE LA AGUJA EN EL BASTIDOR.
- iNCLUYE 100 DISEÑOS EN LA MEMORIA.
- edición CON SOFTWARE HAPPY LINK/LAN INCLUIDO.
- pOSIBILIDAD DE DISTINTOS TIPOS DE BASTIDORES ESPECIALES (OPCIONAL VEASE EN EL CATALOGO 

- Se entrega con: bancada, kits de gorras,  6 juegos dobles de bastidores de 15, 18 y 21 cm y dos de 32X32.";2885;"DUO COMBO HAPPY HCS3.  COMBO ESPECIAL DE DOS CABEZALES DE HCS3, UNIDOS SOBRE UNA BANCADA ESPECIAL. (ESTE TIPO DE COMBO, OFRECE UNA MAYOR VERSATILIDAD Y PRODUCCIÓN, QUE LAS MÁQUINAS DE BORDAR DE DOS CABEZALES CONVENCIONALES) CARACTERISTICAS DE CADA CABEZAL: - MAQUINA DE BORDAR INDUSTRIAL de 12 agujas, CON UN AREA MAX DE BORDADO REAL DE 320X320MM EN BASTIDOR PORTAL (OPCIONAL), de 290x290 en bastidor TUBULAR Y DE 67X290MM CON EL BASTIDOR DE GORRAS. - NUEVO BRAZO, DE TAMAÑO MUCHO MAS PEQUEÑO, QUE PERMITE BORDAR EN ESPACIOS MAS REDUCIDOS. - NUEVO SOPORTE PARA LOS HILOS, QUE PERMITE PONER BOINAS DE HILO CON UNA BASE MAS ANCHA. - VELOCIDAD MAX DE 1.000 PUNTADAS. - NUEVA PANTALLA TACTIL 7&quot; con nuevo sistema de tratamiento de datos, con posibilidad de usar cualquier adaptador wifi por usb, CONEXION LAN incorporada , USB Y USB FRONTAL. - Nuevo sistema de movimiento de bastidor sin vib esperaciones.  - bOBINADOR DE HILO DE CANILLA INCORPORADO E INDEPENDIENTE (NO ES NECESARIO QUE LA MAQUINA ESTE EN MARCHA PARA QUE ESTE TRABAJE). - pOSIBILIDAD DE CREAR TEXTOS CON DISTINTOS ESTILOS DE FUENTES, TAMAÑOS Y FORMAS DESDE EL PANEL. - pOSICIONAMIENTO CON MARCADOR LÁSER TIPO CRUZ. - LUZ LED FRONTAL. - reconocimiento DEL ÁREA DE BORDADO QUE PERMITE EL CENTRAR EL DISEÑO EN EL BASTIDOR CON SOLO PULSAR UN BOTÓN Y TAMBIÉN EVITAR POSIBLES GOLPES DE LA AGUJA EN EL BASTIDOR. - iNCLUYE 100 DISEÑOS EN LA MEMORIA. - edición CON SOFTWARE HAPPY LINK/LAN INCLUIDO. - pOSIBILIDAD DE DISTINTOS TIPOS DE BASTIDORES ESPECIALES (OPCIONAL VEASE EN EL CATALOGO   - Se entrega con: bancada, kits de gorras,  6 juegos dobles de bastidores de 15, 18 y 21 cm y dos de 32X32.";NO;NO;0.0;0;Duplicado import reciente (id alto). Conservar producto legacy con mismo SKU.
ARCHIVAR;3188;EPZ01410;"PANEL LCD 10"" HAPPY";1664;"PANEL LCD 10&quot; HAPPY";NO;NO;0.0;0;Duplicado import reciente (id alto). Conservar producto legacy con mismo SKU.
ARCHIVAR;3212;EPZ01490;"PANTALLA LCD HAPPY 7""";2431;"PANTALLA LCD HAPPY 7&quot;";NO;NO;0.0;0;Duplicado import reciente (id alto). Conservar producto legacy con mismo SKU.
ARCHIVAR;3207;FC345;"BASTIDOR FAST CLAMPING 3,5""X4""(89X101,5MM)";2225;"BASTIDOR FAST CLAMPING 3,5&quot;X4&quot;(89X101,5MM)";NO;NO;0.0;0;Duplicado import reciente (id alto). Conservar producto legacy con mismo SKU.
ARCHIVAR;3206;FC45;"BASTIDOR FAST CLAMPING 4,5""X4,5"" (114X114MM)";2224;"BASTIDOR FAST CLAMPING 4,5&quot;X4,5&quot; (114X114MM)";NO;NO;0.0;0;Duplicado import reciente (id alto). Conservar producto legacy con mismo SKU.
ARCHIVAR;3208;FC456;"BASTIDOR FAST CLAMPING 4,5""X6"" (114,3X152,4MM)";2226;"BASTIDOR FAST CLAMPING 4,5&quot;X6&quot; (114,3X152,4MM)";NO;NO;0.0;0;Duplicado import reciente (id alto). Conservar producto legacy con mismo SKU.
ARCHIVAR;3205;FC65;"BASTIDOR FAST CLAMPING 6,5""X6,5"" (165,1X165,1MM)";2223;"BASTIDOR FAST CLAMPING 6,5&quot;X6,5&quot; (165,1X165,1MM)";NO;NO;0.0;0;Duplicado import reciente (id alto). Conservar producto legacy con mismo SKU.
