ID producto;Referencia interna;Nombre;Enlazado WC;Origen probable;Stock;Pedidos;Accion recomendada
1274;0888 200050;"PLACA 1 AGUJA &quot;b&quot; dk 888";NO;legacy;0.0;0;REVISAR
3174;0888 200050;"PLACA 1 AGUJA ""b"" dk 888";NO;medio;0.0;3;REVISAR (tiene pedidos)
1300;0888 200060;"PLACA 1 AGUJA &quot;c&quot; dk 888/HIGHLEAD/GOLDEN WHEEL";NO;legacy;0.0;0;REVISAR
3177;0888 200060;"PLACA 1 AGUJA ""c"" dk 888/HIGHLEAD/GOLDEN WHEEL";NO;medio;0.0;0;REVISAR
1945;103H7823-0416;"MOTOR MOVIMIENTO &quot;Y&quot; SWF";NO;legacy;0.0;0;REVISAR
3198;103H7823-0416;"MOTOR MOVIMIENTO ""Y"" SWF";NO;import reciente;0.0;0;ARCHIVAR (copia import)
2109;5.04.112A;"PATA/PRENSATELAS &quot;A&quot; MEC-VAL";NO;medio;0.0;0;REVISAR
3203;5.04.112A;"PATA/PRENSATELAS ""A"" MEC-VAL";NO;import reciente;0.0;0;ARCHIVAR (copia import)
1624;522080-271538;TOPE GUIA;NO;legacy;0.0;0;REVISAR
2547;522080-271538;TOPE GUIA;NO;medio;0.0;0;REVISAR
1564;720;ENGRANE HEMBRA EJE ACOPLAMIENTO RULETA PF-491/591/ZOJE/TTY;NO;legacy;0.0;0;REVISAR
2137;720;ENGRANE HEMBRA EJE ACOPLAMIENTO RULETA PF-491/591/ZOJE/TTY;NO;medio;0.0;0;REVISAR
2090;8.01.114;BUJE MEC-VAL CS-87;NO;medio;0.0;0;REVISAR
3079;8.01.114;BUJE MEC-VAL CS-87;NO;medio;0.0;0;REVISAR
1434;91-059186-04/004;"DIENTE PF-1293 &quot;B&quot;";NO;legacy;0.0;0;REVISAR
3182;91-059186-04/004;"DIENTE PF-1293 ""B""";NO;medio;0.0;0;REVISAR
1483;91-150526-04/001;"PLACA AGUJA PF-491 &quot;B&quot;";NO;legacy;0.0;0;REVISAR
3183;91-150526-04/001;"PLACA AGUJA PF-491 ""B""";NO;medio;0.0;0;REVISAR
1404;91-150739-24/001;"PLACA AGUJA PF-591 &quot;B&quot; tty";NO;legacy;0.0;0;REVISAR
3180;91-150739-24/001;"PLACA AGUJA PF-591 ""B"" tty";NO;medio;0.0;0;REVISAR
1560;91-150739-24/003;"PLACA AGUJA PEQUEÑA PF-591 &quot;A&quot; tty";NO;legacy;0.0;0;REVISAR
3185;91-150739-24/003;"PLACA AGUJA PEQUEÑA PF-591 ""A"" tty";NO;medio;0.0;0;REVISAR
1559;91-150739-24/004;"PLACA AGUJA PF-591 &quot;C&quot; tty";NO;legacy;0.0;0;REVISAR
3184;91-150739-24/004;"PLACA AGUJA PF-591 ""C"" tty";NO;medio;0.0;0;REVISAR
3088;C0066;"CUCHILLA VERTICAL KM10&quot;";NO;medio;0.0;0;REVISAR
3235;C0066;"CUCHILLA VERTICAL KM10""";NO;import reciente;0.0;0;ARCHIVAR (copia import)
2672;CORREADENTADA;"CORREA DENTADA MOTOR &quot;Y&quot; LASER";NO;medio;0.0;0;REVISAR
3219;CORREADENTADA;"CORREA DENTADA MOTOR ""Y"" LASER";NO;import reciente;0.0;0;ARCHIVAR (copia import)
2885;DUO-HCS3-1201-40;"DUO COMBO HAPPY HCS3.  COMBO ESPECIAL DE DOS CABEZALES DE HCS3, UNIDOS SOBRE UNA BANCADA ESPECIAL. (ESTE TIPO DE COMBO, OFRECE UNA MAYOR VERSATILIDAD Y PRODUCCIÓN, QUE LAS MÁQUINAS DE BORDAR DE DOS CABEZALES CONVENCIONALES) CARACTERISTICAS DE CADA CABEZAL: - MAQUINA DE BORDAR INDUSTRIAL de 12 agujas, CON UN AREA MAX DE BORDADO REAL DE 320X320MM EN BASTIDOR PORTAL (OPCIONAL), de 290x290 en bastidor TUBULAR Y DE 67X290MM CON EL BASTIDOR DE GORRAS. - NUEVO BRAZO, DE TAMAÑO MUCHO MAS PEQUEÑO, QUE PERMITE BORDAR EN ESPACIOS MAS REDUCIDOS. - NUEVO SOPORTE PARA LOS HILOS, QUE PERMITE PONER BOINAS DE HILO CON UNA BASE MAS ANCHA. - VELOCIDAD MAX DE 1.000 PUNTADAS. - NUEVA PANTALLA TACTIL 7&quot; con nuevo sistema de tratamiento de datos, con posibilidad de usar cualquier adaptador wifi por usb, CONEXION LAN incorporada , USB Y USB FRONTAL. - Nuevo sistema de movimiento de bastidor sin vib esperaciones.  - bOBINADOR DE HILO DE CANILLA INCORPORADO E INDEPENDIENTE (NO ES NECESARIO QUE LA MAQUINA ESTE EN MARCHA PARA QUE ESTE TRABAJE). - pOSIBILIDAD DE CREAR TEXTOS CON DISTINTOS ESTILOS DE FUENTES, TAMAÑOS Y FORMAS DESDE EL PANEL. - pOSICIONAMIENTO CON MARCADOR LÁSER TIPO CRUZ. - LUZ LED FRONTAL. - reconocimiento DEL ÁREA DE BORDADO QUE PERMITE EL CENTRAR EL DISEÑO EN EL BASTIDOR CON SOLO PULSAR UN BOTÓN Y TAMBIÉN EVITAR POSIBLES GOLPES DE LA AGUJA EN EL BASTIDOR. - iNCLUYE 100 DISEÑOS EN LA MEMORIA. - edición CON SOFTWARE HAPPY LINK/LAN INCLUIDO. - pOSIBILIDAD DE DISTINTOS TIPOS DE BASTIDORES ESPECIALES (OPCIONAL VEASE EN EL CATALOGO   - Se entrega con: bancada, kits de gorras,  6 juegos dobles de bastidores de 15, 18 y 21 cm y dos de 32X32.";NO;medio;0.0;0;REVISAR
