WC ID;SKU WC;Nombre WC;Odoo ID;Referencia Odoo;Nombre Odoo;Variantes;Tipo Odoo
7945;ESD-E4;Software Wilcom EmbROIDERY Studio e4 Designing;467;ESD-E4;Software Wilcom EmbROIDERY Studio e4 Designing;1;product
7947;DC-E4;SOFTWARE WILCOM DECORATING e4;468;DC-E4;SOFTWARE WILCOM DECORATING e4;1;product
7948;ENTRETELA 506RG;ENTRETELA PAPEL 50 GRAMOS;469;ENTRETELA 506RG;ENTRETELA PAPEL 50 GRAMOS;1;product
7950;ENTRETELA 504RG;ENTRETELA PAPEL 36 GRAMOS;470;ENTRETELA 504RG;ENTRETELA PAPEL 36 GRAMOS;1;product
7952;ENTRETELA 508RG;ENTRETELA PAPEL 60 GRAMOS;3488;ENTRETELA 508RG;ENTRETELA PAPEL 60 GRAMOS;1;product
7954;TS2025;ENTRETELA VISCOSA SUAVE, 25 GRAMOS;472;TS2025;ENTRETELA VISCOSA SUAVE, 25 GRAMOS;1;product
7956;TS2055;ENTRETELA BLANCA DE VISCOSA SUAVE, 55 GRAMOS;3486;TS2055;ENTRETELA BLANCA DE VISCOSA SUAVE, 55 GRAMOS;1;product
7958;TS2080;ENTRETELA VISCOSA SUAVE, 80 GRAMOS;474;TS2080;ENTRETELA VISCOSA SUAVE, 80 GRAMOS;1;product
7960;TS20100;ENTRETELA VISCOSA SUAVE, 100 GRAMOS;475;TS20100;ENTRETELA VISCOSA SUAVE, 100 GRAMOS;1;product
7962;BASE100BLANCA;ENTRETELA BLANCA BASE 100;476;BASE100BLANCA;ENTRETELA BLANCA BASE 100;1;product
7964;BASE70BLANCA;ENTRETELA BASE 70 BLANCA;3484;BASE70BLANCA;ENTRETELA BASE 70 BLANCA;1;product
7966;BASE50BLANCA;ENTRETELA BLANCA BASE 50;478;BASE50BLANCA;ENTRETELA BLANCA BASE 50;1;product
7972;SILVASS LUBRICANTE;SILVASS;481;SILVASS;SILVASS;1;product
7974;TAKTER 650;TAKTER 650 ADHESIVO;482;TAKTER 650;TAKTER 650 ADHESIVO SPRAY 500ML;1;product
7976;TAKTER 800;TAKTER 800 ADHESIVO;483;TAKTER 800;TAKTER 800 ADHESIVO;1;product
7978;SILICONE EXTRA;SILICONE EXTRA SILICONA;484;SILICONE EXTRA;SILICONE EXTRA SILICONA;1;product
7980;PULIMAK 1;PULIMAK 1 LIMPIADOR DE TEJIDOS;3241;PULIMAK 1;PULIMAK 1 LIMPIADOR DE TEJIDOS;1;consu
7982;DETER 100;DETER 100 LIMPIADOR MAQUINARIA;485;DETER 100;DETER 100 LIMPIADOR MAQUINARIA;1;product
7984;PULITEX;PULITEX SPRAY 3 FUNCIONES;486;PULITEX;PULITEX SPRAY 3 FUNCIONES;1;product
7988;P-80113;FISPOLY40, P-80113;489;P-80113;FISPOLY40, P-80113;1;product
7990;P-10200;FISPOLY40, P-10200;490;P-10200;FISPOLY40, P-10200;1;product
7992;P-26793;FISPOLY40, P-26793;491;P-26793;FISPOLY40, P-26793;1;product
7994;P-36640;FISPOLY40, P-36640;492;P-36640;FISPOLY40, P-36640;1;product
7996;P-36703;FISPOLY40, P-36703;493;P-36703;FISPOLY40, P-36703;1;product
7998;P-40104;FISPOLY40, P-40104;494;P-40104;FISPOLY40, P-40104;1;product
8000;P-40116;FISPOLY40, P-40116;495;P-40116;FISPOLY40, P-40116;1;product
8002;P-40135;FISPOLY40, P-40135;496;P-40135;FISPOLY40, P-40135;1;product
