ID producto;Referencia interna;Nombre;Origen;Stock;Pedidos;Accion recomendada
3431;0265 008772;CUCHILLA MOVIL DK 265;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3420;0265 012265;CUCHILLA FIJA DK 265;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3418;0265 012321;GARFIO DK 265;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3432;0268 140070;LEAF SPRING DK;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3259;05032081000;CUCHILLA MOVIL TAJIMA/INBRO;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3269;0667 175030;EJE CANILLERO 52X;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3429;0688 100060;TAPA COLUMNA DK 888;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3426;0688 160474;MANDO PUNTADA DK 867;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3265;0688 200020;SOPORTE CAJA BOBINA;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3258;080680130S00;CARRETE CORDELA TA;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3290;0867 150754;GARFIO 867 32MM;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3427;0867 150764;INTERIOR DK 867;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3413;0888 150650;TAPA COLUMNA IZQ. DK 888;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3198;103H7823-0416;"MOTOR MOVIMIENTO ""Y"" SWF";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3475;115.00.304;CAJA BOBINA JUKI LK-1900 CANILLA PEQUEÑA;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3474;115.00.310;CAJA BOBINA BROTHER/PLK CANILLA PEQUEÑA;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3203;5.04.112A;"PATA/PRENSATELAS ""A"" MEC-VAL";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3449;6-82-2Y;EXCÉNTRICO Nº24 MERROW;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3428;9850 001089;LED DK 52X;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3235;C0066;"CUCHILLA VERTICAL KM10""";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3337;CARD;CARTA COLOR FISPOLY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3219;CORREADENTADA;"CORREA DENTADA MOTOR ""Y"" LASER";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3242;CUCHILLAREMALLARINF;CUCHILLA REMALLAR INFERIOR;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3300;CUCHILLAREMALLARSUP;CUCHILLA REMALLAR SUPERIOR;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3447;DESPCOS;DESPLAZAMIENTO EN MÁQUINAS DE COSER;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3376;DESPLABORD;DESPLAZAMIENTO A CLIENTE;import reciente;0.0;27;REVISAR: enlazar manualmente o archivar si no esta en WC
3225;DUO-HCS3-1201-40;"DUO COMBO HAPPY HCS3.

COMBO ESPECIAL DE DOS CABEZALES DE HCS3, UNIDOS SOBRE UNA BANCADA ESPECIAL. (ESTE TIPO DE COMBO, OFRECE UNA MAYOR VERSATILIDAD Y PRODUCCIÓN, QUE LAS MÁQUINAS DE BORDAR DE DOS CABEZALES CONVENCIONALES)
CARACTERISTICAS DE CADA CABEZAL:
- MAQUINA DE BORDAR INDUSTRIAL de 12 agujas, CON UN AREA MAX DE BORDADO REAL DE 320X320MM EN BASTIDOR PORTAL (OPCIONAL), de 290x290 en bastidor TUBULAR Y DE 67X290MM CON EL BASTIDOR DE GORRAS.
- NUEVO BRAZO, DE TAMAÑO MUCHO MAS PEQUEÑO, QUE PERMITE BORDAR EN ESPACIOS MAS REDUCIDOS.
- NUEVO SOPORTE PARA LOS HILOS, QUE PERMITE PONER BOINAS DE HILO CON UNA BASE MAS ANCHA.
- VELOCIDAD MAX DE 1.000 PUNTADAS.
- NUEVA PANTALLA TACTIL 7"" con nuevo sistema de tratamiento de datos, con posibilidad de usar cualquier adaptador wifi por usb, CONEXION LAN incorporada , USB Y USB FRONTAL.
- Nuevo sistema de movimiento de bastidor sin vib
esperaciones. 
- bOBINADOR DE HILO DE CANILLA INCORPORADO E INDEPENDIENTE (NO ES NECESARIO QUE LA MAQUINA ESTE EN MARCHA PARA QUE ESTE TRABAJE).
- pOSIBILIDAD DE CREAR TEXTOS CON DISTINTOS ESTILOS DE FUENTES, TAMAÑOS Y FORMAS DESDE EL PANEL.
- pOSICIONAMIENTO CON MARCADOR LÁSER TIPO CRUZ.
- LUZ LED FRONTAL.
- reconocimiento DEL ÁREA DE BORDADO QUE PERMITE EL CENTRAR EL DISEÑO EN EL BASTIDOR CON SOLO PULSAR UN BOTÓN Y TAMBIÉN EVITAR POSIBLES GOLPES DE LA AGUJA EN EL BASTIDOR.
- iNCLUYE 100 DISEÑOS EN LA MEMORIA.
- edición CON SOFTWARE HAPPY LINK/LAN INCLUIDO.
- pOSIBILIDAD DE DISTINTOS TIPOS DE BASTIDORES ESPECIALES (OPCIONAL VEASE EN EL CATALOGO 

- Se entrega con: bancada, kits de gorras,  6 juegos dobles de bastidores de 15, 18 y 21 cm y dos de 32X32.";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3448;ENCHUFERAP;ENCHUFE RÁPIDO;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3188;EPZ01410;"PANEL LCD 10"" HAPPY";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3212;EPZ01490;"PANTALLA LCD HAPPY 7""";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3207;FC345;"BASTIDOR FAST CLAMPING 3,5""X4""(89X101,5MM)";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3206;FC45;"BASTIDOR FAST CLAMPING 4,5""X4,5"" (114X114MM)";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3208;FC456;"BASTIDOR FAST CLAMPING 4,5""X6"" (114,3X152,4MM)";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3205;FC65;"BASTIDOR FAST CLAMPING 6,5""X6,5"" (165,1X165,1MM)";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3335;FD-1204;SINSIM FD-1204;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3234;FRA44003;Cap hold frame ass'y (wide type) HAPPY;import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3373;FW-811400;HILO DE LANA FISWOOLY 1000MT 811400;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3372;FW-BEYAZ;HILO DE LANA FISWOOLY 1000MT BLANCO;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3371;FW-SIYAH;HILO DE LANA FISWOOLY 1000MT NEGRO;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3460;GB134-35D-100;AGUJAS 134-35D-100;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3379;GB134-35LR-130;AGUJAS 134-35LR-130;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3380;GB134-35LR-140;AGUJAS 134-35LR-140;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3404;GB134-35R-120;AGUJAS 134-35R-120;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3417;GB134KKSD-70;AGUJAS 134KKSD-70;import reciente;0.0;2;REVISAR: enlazar manualmente o archivar si no esta en WC
3367;GB134LR-60;AGUJAS 134LR-60;import reciente;0.0;2;REVISAR: enlazar manualmente o archivar si no esta en WC
3416;GB134S-65;AGUJAS 134S-65;import reciente;0.0;2;REVISAR: enlazar manualmente o archivar si no esta en WC
3222;HCA04100;"CUCHILLA FIJA HAPPY ""B"" HCA/HCG/HCM";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3246;HCB08331;TAKE-UP LEVER GUIDE BASE HCH/HCS HAPPY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3247;HCB08730;TAKE-UP LEVER GUIDE BAR HCH HAPPY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3268;HCB29152;DISPLAY BRACKET A  HCS HAPPY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
