ID producto;Referencia interna;Nombre;Num pedidos;Stock;Nota
3444;TRABAJOSAPAR;TRABAJOS EN APARADO;45;0.0;CONSERVAR - tiene historial ventas
3340;;PORTES CTT;20;0.0;CONSERVAR - tiene historial ventas
1301;0767 150590;MUELLE FRENO CANILLA DK 888;14;0.0;CONSERVAR - tiene historial ventas
487;PREB ROYAL BL;CAJA DE CANILLAS PREBOBINADAS PREMIUM ROYAL BLANCA 70D/2 L;14;0.0;CONSERVAR - tiene historial ventas
3443;TRAB/DESP/BORD;TRABAJOS REPARACIÓN//DESPLAZAMIENTO DE MÁQUINAS BORDAR INDUSTRIALES;12;0.0;CONSERVAR - tiene historial ventas
2501;BASE-70WL;70WL BLANCA ENTRETELA BASE DE ARRANCAR, 70 GRAMOS. (1m X 100m);9;0.0;CONSERVAR - tiene historial ventas
2500;BASE-105WL;ENTRETELA BASE DE ARRANCAR, 105 GRAMOS. (1m X 100m);7;0.0;CONSERVAR - tiene historial ventas
1625;0688 350110;CUCHILLA MOVIL DK 888/HIGLEAD/GOLDEN WHEEL;6;0.0;CONSERVAR - tiene historial ventas
3446;TRABCLIENT;TRABAJOS EN CLIENTE;6;0.0;CONSERVAR - tiene historial ventas
3111;LTB1801;COLOR 1801 (BLANCO);6;0.0;CONSERVAR - tiene historial ventas
1361;FRA44270;FLEJE BASTIDOR GORRAS HCR2/HCR3;5;0.0;CONSERVAR - tiene historial ventas
990;GBDBXK5-80RG;AGUJA DBXK5 80RG;4;0.0;CONSERVAR - tiene historial ventas
2918;HCD81351;PLACA CONT-D3 BOARD ASSY HCD3E;4;0.0;CONSERVAR - tiene historial ventas
1965;FLEXO-DS99K-T;FLEXO ARTICULADO LED;4;0.0;CONSERVAR - tiene historial ventas
1306;0245 001660 A;CANILLA dk MOD. 888/888M;4;0.0;CONSERVAR - tiene historial ventas
1375;91-011165-04/3.0;CUCHILLA REFINAR ROMER 3,0 PF-491;4;0.0;CONSERVAR - tiene historial ventas
3107;LTB1980;COLOR 1980;4;0.0;CONSERVAR - tiene historial ventas
3171;HMGU13630;PRENSATELAS HAPPY HCD2/HCR2/HMF & HMG NOISE REDUCTION;4;0.0;CONSERVAR - tiene historial ventas
1730;0688 150130;TAPA COLUMNA DCHA. DK 888;4;0.0;CONSERVAR - tiene historial ventas
3181;0888 200040;"PLACA 1 AGUJA ""a"" dk 888/HIGHLEAD/GOLDEN WHEEL";4;0.0;CONSERVAR - tiene historial ventas
1273;0888 220783;RODETA GOMA DK 35MM Ø;4;0.0;CONSERVAR - tiene historial ventas
1534;RACOR AIRE 1/4;RACOR AIRE 1/4;3;0.0;CONSERVAR - tiene historial ventas
1575;9203 361842;Tornillo placa 1 aguja dk/SUNK SCREW;3;0.0;CONSERVAR - tiene historial ventas
3174;0888 200050;"PLACA 1 AGUJA ""b"" dk 888";3;0.0;CONSERVAR - tiene historial ventas
3351;LTB1842;CONO HILO LTB, GROSOR 40, 5000 mts, Color 1842;3;0.0;CONSERVAR - tiene historial ventas
3179;0688 350100;"CUCHILLA FIJA dk888
/HIGHLEAD/GOLDEN WHEEL";3;0.0;CONSERVAR - tiene historial ventas
3109;LTB1800;COLOR 1800 (NEGRO);3;0.0;CONSERVAR - tiene historial ventas
1299;TRAB/DESP/APA;TRABAJOS/REPARACIÓN/DESPLAZAMIENTO,  DE MAQUINAS DE APARAR/COSER;3;0.0;CONSERVAR - tiene historial ventas
1358;TRAB/DESP/TOLD;TRABAJOS/REPARACIÓN/DESPLAZAMIENTOS MAQUINAS DE TOLDOS;3;0.0;CONSERVAR - tiene historial ventas
1731;0688 150140;TAPA COLUMNA IZDA. DK 888;3;0.0;CONSERVAR - tiene historial ventas
1352;ISAMET METAL;HILO ISAMET 40 5000M METAL ORO 0493;3;0.0;CONSERVAR - tiene historial ventas
1225;GB134R-80;AGUJAS 134R-80;3;0.0;CONSERVAR - tiene historial ventas
2159;0688 350200;TORNILLO CUCHILLA MOVIL  DK 888;3;0.0;CONSERVAR - tiene historial ventas
1877;HCD05140;CUCHILLA FIJA HAPPY HCU/HCR3/HCD3 (MODERNA);3;0.0;CONSERVAR - tiene historial ventas
3249;PEC-1202;SINSIM PEC-1202 ;3;0.0;CONSERVAR - tiene historial ventas
