norm_name;archive_id;archive_code;archive_name;keep_ids;keep_names;rule;status
AGUJAS 134KKD-80;1767;SCH134KKD80;AGUJAS 134KKD-80;1452;AGUJAS 134KKD-80;sin WC: conservar más antiguo;ARCHIVE
AGUJAS AGS. SCH. 175X1 90;1255;S175X190;AGUJAS AGS. SCH. 175X1 90;1254;AGUJAS AGS. SCH. 175X1 90;sin WC: conservar más antiguo;ARCHIVE
ARANDELA AJUSTE BARUDAN;1501;HT230730;ARANDELA AJUSTE BARUDAN;1496;ARANDELA AJUSTE BARUDAN;sin WC: conservar más antiguo;ARCHIVE
ARRASTRE INFERIOR PF-491/591/ZOJE/MAUSER;2150;91-119115-01;ARRASTRE INFERIOR PF-491/591/ZOJE/MAUSER;1913;ARRASTRE INFERIOR PF-491/591/ZOJE/MAUSER;sin WC: conservar más antiguo;ARCHIVE
COLOR 1657;3305;LTB1657;COLOR 1657;3553;COLOR 1657;conservar WC, archivar legacy;SKIP_pedidos
COLOR 1659;3306;LTB1659;COLOR 1659;3552;COLOR 1659;conservar WC, archivar legacy;SKIP_stock
COLOR 1670;3307;LTB1670;COLOR 1670;3551;COLOR 1670;conservar WC, archivar legacy;SKIP_stock
COLOR 1703;3309;LTB1703;COLOR 1703;3549;COLOR 1703;conservar WC, archivar legacy;SKIP_stock
COLOR 1726;3314;LTB1726;COLOR 1726;3545;COLOR 1726;conservar WC, archivar legacy;SKIP_stock
COLOR 1751;3316;LTB1751;COLOR 1751;3543;COLOR 1751;conservar WC, archivar legacy;SKIP_stock
COLOR 1771;3321;LTB1771;COLOR 1771;3537;COLOR 1771;conservar WC, archivar legacy;SKIP_stock
COLOR 1784;3325;LTB1784;COLOR 1784;3533;COLOR 1784;conservar WC, archivar legacy;SKIP_stock
COLOR 1800 (NEGRO);3109;LTB1800;COLOR 1800 (NEGRO);3500;COLOR 1800 (NEGRO);conservar WC, archivar legacy;SKIP_pedidos
COLOR 1801 (BLANCO);3111;LTB1801;COLOR 1801 (BLANCO);3503;COLOR 1801 (BLANCO);conservar WC, archivar legacy;SKIP_pedidos
COVER E;2556;HCD00605;COVER E;2555;COVER E;sin WC: conservar más antiguo;ARCHIVE
COVER F;2558;HCD00616;COVER F;2557;COVER F;sin WC: conservar más antiguo;ARCHIVE
CUCHILLA DK REFINAR;1397;S425 311021;CUCHILLA DK REFINAR;1389;CUCHILLA Dk REFINAr;sin WC: conservar más antiguo;ARCHIVE
CUCHILLA MOVIL DK 265;3431;0265 008772;CUCHILLA MOVIL DK 265;3421;CUCHILLA MOVIL DK 265;sin WC: conservar más antiguo;SKIP_stock
DESPLAZAMIENTO A CLIENTE;3605;;DESPLAZAMIENTO A CLIENTE;3376;DESPLAZAMIENTO A CLIENTE;sin WC: conservar más antiguo;ARCHIVE
DK5 SPRAY LIMPIADOR 500ML;1268;SPRAY LIMPIADOR  GRANDE;DK5 SPRAY LIMPIADOR 500ML;3498;DK5 SPRAY LIMPIADOR 500ML;conservar WC, archivar legacy;ARCHIVE
EJE ABRIDOR DISCOS TTY/PF 591/ZOJE;1557;410;EJE ABRIDOR DISCOS TTY/pf 591/Zoje;1545;EJE ABRIDOR DISCOS TTY/pf 591/Zoje;sin WC: conservar más antiguo;ARCHIVE
EMULADOR USB TAJIMA/HAPPY;2860;SFDR-IU-A720;EMULADOR USB TAJIMA/HAPPY;1688;EMULADOR USB TAJIMA/HAPPY;sin WC: conservar más antiguo;ARCHIVE
ENGRANE ARRASTRE TTY;2765;591-919S;ENGRANE ARRASTRE TTY;2762;ENGRANE ARRASTRE TTY;sin WC: conservar más antiguo;ARCHIVE
ENTRETELA BASE 70 BLANCA;477;BASE70BLA(80CM);ENTRETELA BASE 70 BLANCA;3484;ENTRETELA BASE 70 BLANCA;conservar WC, archivar legacy;ARCHIVE
ENTRETELA BASE 70 NEGRA 50CM;2989;BASE70NE(50CM);ENTRETELA BASE 70 NEGRA 50CM;3556;ENTRETELA BASE 70 NEGRA 50CM;conservar WC, archivar legacy;ARCHIVE
ENTRETELA BASE DE ARRANCAR, 105 GRAMOS;2500;BASE-105WL;ENTRETELA BASE DE ARRANCAR, 105 GRAMOS. (1m X 100m);3508;ENTRETELA BASE DE ARRANCAR, 105 GRAMOS;conservar WC, archivar legacy;SKIP_pedidos
ENTRETELA BLANCA DE VISCOSA SUAVE, 55 GRAMOS;473;TS2055BLANCA;ENTRETELA BLANCA DE VISCOSA SUAVE, 55 GRAMOS;3486;ENTRETELA BLANCA DE VISCOSA SUAVE, 55 GRAMOS;conservar WC, archivar legacy;ARCHIVE
ENTRETELA PAPEL 60 GRAMOS;2360;ENTRETELA508RG;ENTRETELA PAPEL 60 GRAMOS;3488;ENTRETELA PAPEL 60 GRAMOS;conservar WC, archivar legacy;ARCHIVE
FISPOLY40, P-70109;907;P.-70109;FISPOLY40, P-70109;3516;FISPOLY40, P-70109;conservar WC, archivar legacy;ARCHIVE
FISPOLY40, SIYAH (NEGRO);527;P-SIYAH;FISPOLY40, SIYAH (NEGRO);3490;FISPOLY40, SIYAH (NEGRO);conservar WC, archivar legacy;SKIP_pedidos
GUÍA NYLON PRENSATELAS MÁQUINA BARUDAN. (Ø8 MM);1905;HT230720;GUÍA NYLON PRENSATELAS MÁQUINA BARUDAN. (Ø8 MM);1904;GUÍA NYLON PRENSATELAS MÁQUINA BARUDAN. (Ø8 MM);sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3116;FW-111742;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3117;FW-711843;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3118;FW-111743;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3119;FW-121821;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3120;FW-121816;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3121;FW-121820;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3122;FW-111938;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3123;FW-111642;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3124;FW-811402;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3125;FW-111640;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3126;FW-311078;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3127;FW-111641;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3128;FW-711446;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3129;FW-611603;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
HILO DE LANA FISWOOLY 1000MT;3131;FW-711445;HILO DE LANA FISWOOLY 1000MT;3115;HILO DE LANA FISWOOLY 1000MT;sin WC: conservar más antiguo;ARCHIVE
LEAF SPRING DK;3432;0268 140070;LEAF SPRING DK;3423;LEAF SPRING DK;sin WC: conservar más antiguo;SKIP_stock
MAQUINA DE BORDAR MULTICABEZAL AVANZADA DE OCHO CABEZALES;3000;HCT-1508 S/G;MAQUINA DE BORDAR MULTICABEZAL AVANZADA DE OCHO CABEZALES.;2999;MAQUINA DE BORDAR MULTICABEZAL AVANZADA DE OCHO CA;sin WC: conservar más antiguo;ARCHIVE
MERROW MG-3U;996;MG-3U;MERROW MG-3U;3510;MERROW MG-3U;conservar WC, archivar legacy;ARCHIVE
MERROW MG-3U VELCRO;997;MG-3U VELCRO;MERROW MG-3U VELCRO;3509;MERROW MG-3U VELCRO;conservar WC, archivar legacy;ARCHIVE
"MIGHTYHOOP 11 X 13&QUOT; ECO";970;ST-M1113-HA500;"MIGHTYHOOP 11 X 13&quot; ECO";3512;"MIGHTYHOOP 11 X 13&quot; ECO";conservar WC, archivar legacy;ARCHIVE
"MIGHTYHOOP 5,5"" ECO";3157;ST-M0505-HA360;"MIGHTYHOOP 5,5"" ECO";3514;"MIGHTYHOOP 5,5"" ECO";conservar WC, archivar legacy;SKIP_pedidos
MUELLE TENSOR DK;2858;0667 165220;MUELLE TENSOR DK;2392;MUELLE TENSOR DK;sin WC: conservar más antiguo;SKIP_pedidos
MUELLE TENSOR DK;3140;0099 004910;MUELLE TENSOR DK;2392;MUELLE TENSOR DK;sin WC: conservar más antiguo;ARCHIVE
PLACA AGUJA 1971;1994;S980 000103;placa aguja 1971;1925;placa aguja 1971;sin WC: conservar más antiguo;ARCHIVE
PLACA AGUJA 1971;2030;S980 000101;PLACA AGUJA 1971;1925;placa aguja 1971;sin WC: conservar más antiguo;ARCHIVE
PLÁSTICO HIDROSOLUBLE 25 ΜM;480;HISOL-50;PLÁSTICO HIDROSOLUBLE 25 µm;479;PLÁSTICO HIDROSOLUBLE 25 µm;sin WC: conservar más antiguo;ARCHIVE
PLÁSTICO HIDROSOLUBLE 25 ΜM;2842;HISOL-100;PLÁSTICO HIDROSOLUBLE 25 µm;479;PLÁSTICO HIDROSOLUBLE 25 µm;sin WC: conservar más antiguo;ARCHIVE
RESORTE DK;3430;S080 818711;RESORTE DK ;3422;RESORTE DK;sin WC: conservar más antiguo;SKIP_pedidos
RODILLO MAQ. TERMOSELLAR PF;2996;95-253082-05;RODILLO MAQ. TERMOSELLAR PF;2746;RODILLO MAQ. TERMOSELLAR PF;sin WC: conservar más antiguo;ARCHIVE
ROTARY HOOK COVER RETAINING SPRING;3458;HCT04060;ROTARY HOOK COVER RETAINING SPRING;3457;ROTARY HOOK COVER RETAINING SPRING;sin WC: conservar más antiguo;ARCHIVE
SOPORTE TOPE PRENSATELAS BARUDAN;2446;HT230370;SOPORTE TOPE PRENSATELAS BARUDAN;2439;SOPORTE TOPE PRENSATELAS BARUDAN;sin WC: conservar más antiguo;ARCHIVE
TAJIMA;2641;S-0727;TAJIMA;2640;TAJIMA;sin WC: conservar más antiguo;ARCHIVE
TAJIMA;2642;S-0726;TAJIMA;2640;TAJIMA;sin WC: conservar más antiguo;ARCHIVE
TAJIMA;2643;S-1141;TAJIMA;2640;TAJIMA;sin WC: conservar más antiguo;ARCHIVE
TAJIMA;2644;S-0615;TAJIMA;2640;TAJIMA;sin WC: conservar más antiguo;ARCHIVE
TAJIMA;2645;S-0721;TAJIMA;2640;TAJIMA;sin WC: conservar más antiguo;ARCHIVE
TENSOR COMPLETO HAPPY HCH/HCS/HCS2;1131;HCB16212;TENSOR COMPLETO HAPPY HCH/HCS/HCS2;410;TENSOR COMPLETO HAPPY HCH/HCS/HCS2;sin WC: conservar más antiguo;ARCHIVE
TORNILLO DK;1861;9204 201697;TORNILLO DK;1783;TORNILLO DK;sin WC: conservar más antiguo;ARCHIVE
TRABAJOS EN APARADO;3444;TRABAJOSAPAR;TRABAJOS EN APARADO;3436;TRABAJOS EN APARADO;sin WC: conservar más antiguo;SKIP_pedidos
