odoo_id;sku;nombre;odoo_list_price;wc_regular_price;neto_esperado;status;delta_actual_vs_esperado;wc_id
498;P-56051;FISPOLY40, P-56051;4.5;5.45;4.5;OK_NETO;0.0;8006
497;P-50123;FISPOLY40, P-50123;4.5;5.45;4.5;OK_NETO;0.0;8004
496;P-40135;FISPOLY40, P-40135;4.5;5.45;4.5;OK_NETO;0.0;8002
495;P-40116;FISPOLY40, P-40116;4.5;5.45;4.5;OK_NETO;0.0;8000
494;P-40104;FISPOLY40, P-40104;4.5;5.45;4.5;OK_NETO;0.0;7998
493;P-36703;FISPOLY40, P-36703;4.5;5.45;4.5;OK_NETO;0.0;7996
492;P-36640;FISPOLY40, P-36640;4.5;5.45;4.5;OK_NETO;0.0;7994
491;P-26793;FISPOLY40, P-26793;4.5;5.45;4.5;OK_NETO;0.0;7992
490;P-10200;FISPOLY40, P-10200;4.5;5.45;4.5;OK_NETO;0.0;7990
489;P-80113;FISPOLY40, P-80113;4.5;5.45;4.5;OK_NETO;0.0;7988
486;PULITEX;PULITEX SPRAY 3 FUNCIONES;5.0;6.05;5.0;OK_NETO;0.0;7984
485;DETER 100;DETER 100 LIMPIADOR MAQUINARIA;4.75;5.75;4.75;OK_NETO;0.0;7982
3241;PULIMAK 1;PULIMAK 1 LIMPIADOR DE TEJIDOS;5.24;6.05;5.0;OTRO;0.24;7980
1718;HP482590;RODAMIENTO CON GOMA AJUSTE PANTÓGRAFO BARUDAN.;20.5;24.81;20.5;OK_NETO;0.0;392499
484;SILICONE EXTRA;SILICONE EXTRA SILICONA;4.45;5.39;4.45;OK_NETO;0.0;7978
483;TAKTER 800;TAKTER 800 ADHESIVO;6.5;7.87;6.5;OK_NETO;0.0;7976
3482;887-160122-M;MÁQUINA BASE PLANA DÜRKOPP ADLER MODELO 887-160122-M;0.0;0.0;;WC_PRECIO_CERO;;346888
1579;TJ9850;TIJERAS FISKARS GRANDES 21CM, PARA ZURDOS.;21.71;26.27;21.71;OK_NETO;0.0;346647
482;TAKTER 650;TAKTER 650 ADHESIVO SPRAY 500ML;5.5;6.65;5.5;OK_NETO;0.0;7974
1127;FRA41080;TORNILLO ARO BASTIDOR  HAPPY L=29 MM.;4.8;5.81;4.8;OK_NETO;0.0;329545
481;SILVASS;SILVASS;6.5;;;NO_EN_WC;;
1126;FRA41070;TORNILLO ARO BASTIDOR  HAPPY L=25mm;4.37;5.57;4.6;OTRO;-0.23;329543
478;BASE50BLANCA;ENTRETELA BLANCA BASE 50;85.0;102.85;85.0;OK_NETO;0.0;7966
3484;BASE70BLANCA;ENTRETELA BASE 70 BLANCA;125.4;125.4;103.64;MAL_COPIADO_BRUTO;21.76;7964
476;BASE100BLANCA;ENTRETELA BLANCA BASE 100;151.25;183.013;151.25;OK_NETO;0.0;7962
475;TS20100;ENTRETELA VISCOSA SUAVE, 100 GRAMOS;135.0;133.1;110.0;OTRO;25.0;7960
474;TS2080;ENTRETELA VISCOSA SUAVE, 80 GRAMOS;168.0;203.28;168.0;OK_NETO;0.0;7958
3486;TS2055;ENTRETELA BLANCA DE VISCOSA SUAVE, 55 GRAMOS;156.09;156.09;129.0;MAL_COPIADO_BRUTO;27.09;7956
472;TS2025;ENTRETELA VISCOSA SUAVE, 25 GRAMOS;55.0;66.55;55.0;OK_NETO;0.0;7954
3488;ENTRETELA 508RG;ENTRETELA PAPEL 60 GRAMOS;152.46;152.46;126.0;MAL_COPIADO_BRUTO;26.46;7952
1578;TJ9959;TIJERAS FISKARS MEDIANAs 17cm. NEGRAS.;21.68;26.23;21.68;OK_NETO;0.0;90256
470;ENTRETELA 504RG;ENTRETELA PAPEL 36 GRAMOS;95.0;96.8;80.0;OTRO;15.0;7950
1224;TJ9881;TIJERAS FISKARS BORDADO 13 CM.;17.72;21.43;17.71;OK_NETO;0.0;90220
469;ENTRETELA 506RG;ENTRETELA PAPEL 50 GRAMOS;109.0;131.89;109.0;OK_NETO;0.0;7948
1223;TJ9808;TIJERAS FISKARS BORDADO HOJA CURVA 10 CM.;19.69;23.82;19.69;OK_NETO;0.0;90218
468;DC-E4;SOFTWARE WILCOM DECORATING e4;1899.0;2297.79;1899.0;OK_NETO;0.0;7947
1222;TJ9853;TIJERAS FISKARS GRANDES 21CM, PARA DIESTROS.;21.71;26.27;21.71;OK_NETO;0.0;90216
1221;TJ9859;TIJERAS FISKARS MEDIANAs 17cm. NAR.;21.68;26.23;21.68;OK_NETO;0.0;90214
467;ESD-E4;Software Wilcom EmbROIDERY Studio e4 Designing;3699.0;4475.79;3699.0;OK_NETO;0.0;7945
1220;K5165;TIJERAS KAI N5165 165MM;15.0;16.34;13.5;OTRO;1.5;90212
529;P-20148;FISPOLY40, P-20148;4.5;5.45;4.5;OK_NETO;0.0;8067
1219;11-TC-100MET;TIJERAS CORTAHILOS DE MANO METALICAS;4.5;5.445;4.5;OK_NETO;0.0;90210
528;P-16934;FISPOLY40, P-16934;4.5;5.45;4.5;OK_NETO;0.0;8065
1218;TJ9807;TIJERAS FISKARS BORDADO hoja recta 10cm;19.08;21.92;18.12;OTRO;0.96;90208
3490;P-SIYAH (NEGRO);FISPOLY40, SIYAH (NEGRO);4.5;5.45;4.5;OK_NETO;0.0;8063
980;HCU-1401-40;"HCU-1401-40W - Máquina de bordar de 1 cabezal y 14 agujas. - Prensatelas con regulación electrónica de altura y ajuste automático de el espesor del genero. -Marcador láser en cruz 100% preciso, un campo de trabajo de 400X600 tanto en tubular como en plano. - Campo ampliable a 400X1200. - Pantalla táctil de 7"".  - Auto reparación automática de todos lo errores. - Conexión WIFI y LAN. - Iluminación LED sobre el área de bordado. - Velocidad de 1500 r.p.m. Incluye, 4 juegos de bastidores tubulares, bancada y accesorios, kit bastidor de gorras (80X360).";15500.0;0.0;;WC_PRECIO_CERO;;78701
526;P-90104;FISPOLY40, P-90104;4.5;5.45;4.5;OK_NETO;0.0;8061
442;HCD3e-1501-40W;HCD3e-1501-40W;13500.0;0.0;;WC_PRECIO_CERO;;78520
525;P-70155;FISPOLY40, P-70155;4.5;5.45;4.5;OK_NETO;0.0;8059
438;HCS2-1201-30W;HAPPY HCS2-1201-30;9300.0;0.0;;WC_PRECIO_CERO;;78518
