Categoria;Accion recomendada;Prioridad;ID Odoo;ID WooCommerce;Referencia interna;SKU WC;Nombre;Enlazado WC;Origen;Stock;Pedidos;Variantes;Tipo producto Odoo;Producto relacionado ID;Producto relacionado nombre;Causa / motivo;Notas
RESUMEN;INFORMATIVO;-;;;;;;;;;;;;;;Productos Odoo activos;3210
RESUMEN;INFORMATIVO;-;;;;;;;;;;;;;;Variantes Odoo;3244
RESUMEN;INFORMATIVO;-;;;;;;;;;;;;;;Productos WooCommerce;688
RESUMEN;INFORMATIVO;-;;;;;;;;;;;;;;Enlazados OK Odoo-WC;662
RESUMEN;INFORMATIVO;-;;;;;;;;;;;;;;WC sin producto Odoo;26
RESUMEN;INFORMATIVO;-;;;;;;;;;;;;;;Odoo sin enlace WC;2537
RESUMEN;INFORMATIVO;-;;;;;;;;;;;;;;Grupos referencia duplicada;94
RESUMEN;INFORMATIVO;-;;;;;;;;;;;;;;Archivar seguro (duplicados import);40
RESUMEN;INFORMATIVO;-;;;;;;;;;;;;;;Integracion;latiendadelbordado
RESUMEN;INFORMATIVO;-;;;;;;;;;;;;;;Fecha diagnostico;2026-07-07
;;;;;;;;;;;;;;;;;
DUPLICADO IMPORT;ARCHIVAR;ALTA;3198;;103H7823-0416;;"MOTOR MOVIMIENTO ""Y"" SWF";NO;import reciente (copia);0;0;;;1945;"MOTOR MOVIMIENTO &quot;Y&quot; SWF";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1945
DUPLICADO IMPORT;ARCHIVAR;ALTA;3203;;5.04.112A;;"PATA/PRENSATELAS ""A"" MEC-VAL";NO;import reciente (copia);0;0;;;2109;"PATA/PRENSATELAS &quot;A&quot; MEC-VAL";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2109
DUPLICADO IMPORT;ARCHIVAR;ALTA;3219;;CORREADENTADA;;"CORREA DENTADA MOTOR ""Y"" LASER";NO;import reciente (copia);0;0;;;2672;"CORREA DENTADA MOTOR &quot;Y&quot; LASER";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2672
